Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description,Views per Subscriber,Views per Video,Subscribers (M),Views (B),Tier
129,UC_F8DoJf9MZogEOU51TpTbQ,Clash Royale,11700000,2694248553,870,Unknown,"Clash Royale is a real-time, head-to-head battle game set in the Clash Universe. Welcome to the Arena!",230.28,3096837.0,11.7,2.694,🟡 10–50M
130,UC-Bc-4nV2-Tk4Af2rqrmrjA,HomeAnimations - Мультики про танки,11600000,6483375192,1448,RU,"Мультики про танки и не только !  Новые мультики каждую неделю! по ПОНЕДЕЛЬНИКАМ , СРЕДАМ И ПЯТНИЦАМ ! Поддержите проект: лайк и подписка будут лучшим стимулом для развития !  Цели  Нас 5000 - 22.04.17                   Нас 10000 - 18.08.17                 Нас 20000 - 13.11.17                     Нас 25000 - 05.12.17                     Нас 50000 - 10.02.18                     Нас 75000 - 23.03.18",558.91,4477469.0,11.6,6.483,🟡 10–50M
131,UColTsB6zogXWooPbeO67Wgw,ElAbrahaham,11500000,2973690411,2033,MX,Me gusta subir videos y shorts contactoelabrahaham@gmail.com,258.58,1462710.0,11.5,2.974,🟡 10–50M
132,UCJfeUWkrU4JwIJfP-usd-_w,Khesari Music World,11500000,4740515824,729,IN,,412.22,6502765.0,11.5,4.741,🟡 10–50M
133,UCAvrIl6ltV8MdJo3mV4Nl4Q,MrLololoshka (Роман Фильченков),11300000,5510275214,4232,US,"Меня зовут Роман, подпишись! Канал весёлый и интересный! Видео по модам, летсплеям для Minecraft. Иногда могут быть видео по хоррор играм. Улё  5605344252  • По рекламе — lololoshkawork@gmail.com   ",487.63,1302050.0,11.3,5.51,🟡 10–50M
134,UC-AlofdKECUdhXrbJQZ6iEg,LatinHype,11200000,10768841322,1893,MX,,961.5,5688770.0,11.2,10.769,🟡 10–50M
135,UCev-b-xy-p5fHK8x3zJyn1Q,Diamond Platnumz,11200000,3512924947,1553,TZ,"Nasibu Abdul Juma Issaack, born on October 2, 1989, and widely recognized by his stage name Diamond Platnumz, is a versatile Tanzanian luminary. Emerging from the humble streets of Tandale, Dar es Salaam, Diamond's journey unfolds as a multifaceted artist, encompassing roles as a Bongo Flava recording artist, actor, dancer, philanthropist, and astute businessman.  Elevating the Tanzanian music sce",313.65,2262025.0,11.2,3.513,🟡 10–50M
136,UCxH0sQJKG6Aq9-vFIPnDZ2A,The Vibe Guide,11000000,9427356618,4657,US,The Vibe Guide - Your guide to the latest music trends.  Since 2012 we've been working closely with musical artists and have established ourselves as one of the leading music curators on Youtube.  Send your submissions to tvgsubmissions@gmail.com ,857.03,2024341.0,11.0,9.427,🟡 10–50M
137,UCCrA8ZN1J3S52wuF4vthZFQ,Silvio Gamer,11000000,4624642002,1278,MX,"¡Hola, soy SILVIO, YouTuber Mexicano! 🤠 En mi canal encontraras videos LUNES, MIERCOLES, VIERNES y SABADOS llenos de risas, momentos épicos, increíbles, intrigantes y sobre todo mucha diversión con buen ambiente!   Suelo grabar muchos juegos, pero mi favorito es Minecraft! No olvides activar la campanita y suscribirte para que no te pierdas ningún video o directo del canal!  💥 MI LIBRO! 🥳 💥 👉 Mexi",420.42,3618656.0,11.0,4.625,🟡 10–50M
138,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,10900000,8103356722,3317,US,Welcome to the official Universal Pictures YouTube page!,743.43,2442978.0,10.9,8.103,🟡 10–50M
139,UCLMKLU-ZuDQIsbjMvR3bbog,Furious Jumper,10800000,6931835075,7468,FR, ,641.84,928205.0,10.8,6.932,🟡 10–50M
140,UCEfGV5hx2VrXl4jOUnG0MRQ,Geleia,10700000,3540866811,2442,BR,Seja muito bem-vindo ao canal do Geleia!  ✉️ Contato profissional: comercial@agenciacurta.com  ♥ Nossas Conquistas  • INÍCIO: 22/07/2016 • 100 inscritos: 14/10/2016 • 500 inscritos: 03/02/2017 • 1 mil inscritos: 11/04/2017 • 10 mil inscritos:  27/09/2019 • 20 mil inscritos: 11/05/2020 • 30 mil inscritos: 04/06/2020 • 40 mil inscritos: 24/06/2020 • 50 mil inscritos: 22/07/2020 • 100 mil inscritos: ,330.92,1449986.0,10.7,3.541,🟡 10–50M
141,UCzee67JnEcuvjErRyWP3GpQ,Saregama Tamil,10700000,6538008224,9973,IN,"Saregama India Limited - the one-stop destination for Indian music - from golden oldies to the biggies of today. Chances are you'll find not just your own hummable faves but your mum's and grandma's too - we own the biggest archive of all kinds of music from India, with top artistes across 100 years. So come and find the perfect song for every mood.",611.03,655571.0,10.7,6.538,🟡 10–50M
142,UC0eLBYhxW9HC0P9PXQ73mpQ,Cash,10700000,3250630772,1406,US,I love to play Minecraft with my friend Nico! ,303.8,2311971.0,10.7,3.251,🟡 10–50M
143,UCazcTV-hRc4b-wdb0sFsRKQ,Trolero,10600000,3305922334,3131,ES,Me encanta jugar Minecraft y juegos divertidos! Aquí encontrarás 3 vídeos a la semana de forma habitual!  Pero puede que alguna vez haya algún vídeo extra! Si quieres más vídeos suscribete y deja un comentario con el juego que quieres que juguemos juntos! ,311.88,1055868.0,10.6,3.306,🟡 10–50M
144,UC7EPUDULa-Oru2MpL7UV8sA,León Picarón,10600000,1852809911,6428,ES,"🎶 BIENVENIDO AL CANAL DE LEÓN PICARÓN 🦁🧡 EL MEJOR CANAL DE LA HISTORIA (Eso dice mi mamá)  ⬇️⬇️ AQUÍ ENCONTRARÁS ⬇️⬇️  🦔 TODAS LAS NOVEDADES, JUEGOS Y ENTRETENIMIENTO DE SONIC 🦔  😈 TODAS LAS HISTORIAS DE TERROR Y AVENTURAS BUSCANDO CREEPYPASTAS Y MONSTRUOS EN LA VIDA REAL 😈 🎤 RAPS Y CANCIONES DE CUALQUIER COSA QUE SEGURO TE ENCANTARÁN Y TENDRÁS EN TU PLAYLIST DIARIA 🎤 🎮 SERIES Y GAMEPLAYS DIVERTID",174.79,288240.0,10.6,1.853,🟡 10–50M
145,UC_q5WZtFp36adwqhKpZzxwQ,SypherPK,10600000,7064813524,3482,US,Hey everyone! I’m Sypher and I make gaming videos :)  Socials:  - Watch me live at: http://www.twitch.tv/sypherpk   - Twitter: http://www.twitter.com/sypherpk   - Instagram: https://www.instagram.com/sypherpk  - Facebook: https://facebook.com/SypherPK  - Discord: https://discord.gg/SypherPK -----------------------------------------------------------  Want to be part of my YouTube editing team? App,666.49,2028953.0,10.6,7.065,🟡 10–50M
146,UCRkuUgtDAL4XSU5jB40J_wA,Foltyn,10400000,3439808366,1808,Unknown,I just wanna make people smile   ,330.75,1902549.0,10.4,3.44,🟡 10–50M
147,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo of America,10100000,3981255334,7355,US,"Welcome to the official Nintendo of America YouTube channel, where you'll find all the latest videos and news from Nintendo. For ESRB ratings go to http://esrb.org. ",394.18,541299.0,10.1,3.981,🟡 10–50M
148,UCHVDgaiLbpj5Leazw8vsAmg,صالح - oPiiLz,10100000,3016910361,1798,SA,محتوى هبد  حسابات التواصل الإجتماعي:  Snpachat : oPiiLz Twitter: ioPiiLz Instagram: oPiiLz TikTok: oPiiLz kick.com/opiilz  ♥♥♥   للإعلان في القناة ads:  oPiiLz.Falcons@gmail.com  ,298.7,1677926.0,10.1,3.017,🟡 10–50M
149,UCqNH56x9g4QYVpzmWTzqVYg,Dynamo Gaming,10100000,1397455429,2877,IN,"Hi. This is Aadii "" Dynamo ""  Sawant.     Business Mail : work@dynamogaming.in  Hasta La Vista.",138.36,485734.0,10.1,1.397,🟡 10–50M
150,UC63anZxfVGHUEmfBAf5w7pw,CaseOh,10000000,2094381381,2252,US,Streamer on Twitch - caseoh_  ,209.44,930009.0,10.0,2.094,🟡 10–50M
151,UCdI8evszfZvyAl2UVCypkTA,MileyCyrusVEVO,9920000,7809037198,171,Unknown,Something Beautiful the album out now,787.2,45666884.0,9.92,7.809,🟢 1–10M
152,UChvFYu5FDtRWDvKcb1hUvZw,Mkamel GG,9910000,2450416846,2411,EG,Ok Ok 👌   للتواصل والاعلانات : mkamelbusiness1@gmail.com   اسمي محمود كامل من مصر منشي محتوي ألعاب فديو 😁  قناتي او مراتي الاول Mkamel ❤️😂  باذن الله بيكم هنوصل ❤️   دسكورد : Mkamel#8106,247.27,1016349.0,9.91,2.45,🟢 1–10M
153,UC68nKdrLbLL0Vj7ilVkLmmg,Saregama Telugu,9900000,7043363874,8410,IN,"Saregama India Limited - the one-stop destination for Indian music - from golden oldies to the biggies of today. Chances are you'll find not just your own hummable faves but your mum's and grandma's too - we own the biggest archive of all kinds of music from India, with top artistes across 100 years. So come and find the perfect song for every mood.",711.45,837499.0,9.9,7.043,🟢 1–10M
154,UC-UXd3xaj1I_yTvufcMdDAA,LankyBox World,9830000,5436431726,2814,US,"LankyBox World! Here you'll find animated & Roblox gaming videos with Adam, Justin, Boxy, Rocky, & Foxy!",553.04,1931923.0,9.83,5.436,🟢 1–10M
155,UCDhM2k2Cua-JdobAh5moMFg,ITZY,9800000,3903660495,2405,KR,YUNA SOLO DEBUT | 'Ice Cream' OFFICIAL TRAILER https://youtu.be/vPJ2LQ0exUM  💿 ALBUM RELEASE 2026.03.23 MON 6PM (KST) | 5AM (ET)  #ITZY #MIDZY #YUNA #유나 #YUNA_IceCream ,398.33,1623144.0,9.8,3.904,🟢 1–10M
156,UCH27Wi4vlk2inrM8PLz02AQ,Nicole Maffi,9770000,2655873560,2889,BR,"Oi, eu sou a Nicole Maffi! Espero que vocês gostem dos meus vídeos e se divirtam muito comigo! ",271.84,919305.0,9.77,2.656,🟢 1–10M
157,UChFur_NwVSbUozOcF_F2kMg,Mumbo Jumbo,9770000,3388117911,2184,GB,"My name is Oli, also known as Mumbo Jumbo and I make videos on the popular voxel based game 'Minecraft'. I focus mainly on the technical elements of the game, doing tutorials on various elements of redstone to try and make you better, and hopefully give you something you can show off to your friends.  I also have a long running Vanilla Survival Let's Play series on the well known Hermitcraft serve",346.79,1551336.0,9.77,3.388,🟢 1–10M
158,UCsPMNatXCwqyUuJilBT73jg,CaylusBlox,9700000,3015217329,840,US,i play roblox here subscribe and join the CAYLUS KINGDOM ,310.85,3589544.0,9.7,3.015,🟢 1–10M
159,UCrY307dziCjW1E6u1ZuLetg,Antronixx G,9700000,1157960408,2003,MX,SUSCRIBETE POR UN MAZAPAN!!,119.38,578113.0,9.7,1.158,🟢 1–10M
160,UCh5mLn90vUaB1PbRRx_AiaA,MoreSidemen,9640000,6029328151,1446,GB,Welcome to the Official Sidemen 2nd Channel which is also officially the greatest channel on YouTube… ENJOY!,625.45,4169660.0,9.64,6.029,🟢 1–10M
161,UC5-gWZXAQqSGVfPHkA7NRiQ,Bebe Rexha,9600000,4450475640,240,Unknown,#EXTRADIRTY,463.59,18543648.0,9.6,4.45,🟢 1–10M
162,UC4plRabXFGdAE6HP-tBQKdQ,HEARTROCKER,9580000,4059655404,3211,TH,"ยินดีต้อนรับทุกท่านครับ ;) ช่องสำหรับคอเกม และผู้ที่อยากได้รอยยิ้ม  I have never sent an email regarding request for game code from any providers. As of now, there has been many cases in which people have been impersonating me, requesting for game access keys. I highly advise you not to trust those faux email addresses as my only email that is available for contact is heartrockerfantasy@gmail.com",423.76,1264296.0,9.58,4.06,🟢 1–10M
163,UC62nFXtc3KNujp9LCPJt-sA,Awita,9560000,2921311933,1438,ES,Suscríbete y te daré Awita 💙 👾 Twitch: https://www.twitch.tv/aguafresquitayt 💙 Discord: https://discord.gg/VJtZ9zDbKz 🐤Twitter: https://twitter.com/AguaFresquita_ 👉 Correo Negocios: awita@mcr-agency.com ,305.58,2031510.0,9.56,2.921,🟢 1–10M
164,UCzyeq_iKmrFTBQ0kzNSqMtg,PojzPlaza,9500000,2598868040,3064,TH,ติดต่องานทางอีเมล์เท่านั้น  ,273.57,848195.0,9.5,2.599,🟢 1–10M
165,UCz2si8w1MqVtl1moygyGqpQ,Humble Music,9470000,3957193572,1130,IN, ,417.87,3501941.0,9.47,3.957,🟢 1–10M
166,UCDBCCMlFD-hArPbWv38FINA,Daz Games,9440000,3246199844,1728,GB,"Welcome to the official channel of Daz Games! Here you’ll find all my Try Not To Laugh Challenge, Sketch and Reaction videos where you’ll enjoy my responses to videos from Jacob Sartorius, Musical.ly and everything else on the internet you hold so dearly. I like to do commentary walkthroughs and playthroughs of games like Sims, Uncharted 4, GTA V, Minecraft and many other games. New gaming videos ",343.88,1878588.0,9.44,3.246,🟢 1–10M
167,UCG5qGWdu8nIRZqJ_GgDwQ-w,Premier League,9420000,7633154479,5651,GB,Welcome to the official Premier League YouTube channel. Keep up to date with the latest content from the Premier League.  Subscribe to the official Premier League YouTube channel: http://preml.ge/PremierLeagueYouTube   Premier League website: http://preml.ge/PremierLeagueWebsite  Follow the Premier League on Instagram: http://preml.ge/PremierLeagueInstagram  Follow the Premier League on Twitter: h,810.31,1350762.0,9.42,7.633,🟢 1–10M
168,UCMQOumrt3C7fFRT8oBc436Q,Bobicraft,9150000,5493783744,3404,MX,"¡Bienvenidos nuevamente a Bobicraft!  Ganador de Minecraft 10 Aniversario, rompimos el Record Guinness de mayor cantidad de gente vestida como Steve, Autor de libros, Canal #1 más visto en noticias, novedades, snapshots, curiosidades, tops, diversión, información y documentales de #Minecraft.  ¡Disfruta los #videos!   📧 Negocios: bobicraft@mcr-agency.com 📧 Correo de fans: contactobobicraft@gmail.c",600.41,1613920.0,9.15,5.494,🟢 1–10M
169,UCln9P4Qm3-EAY4aiEPmRwEA,Ado,9110000,5207488054,673,JP,元気です。,571.62,7737724.0,9.11,5.207,🟢 1–10M
170,UCIwspRtKNszHhIhl36gREjQ,alanzoka,9050000,2415184416,4285,BR,"To sempre jogando alguma coisa ai  contato: alanzoka@vandep.ag  Não autorizo o uso desses vídeos ou qualquer outro das lives em outro canal, para qualquer dúvida     ",266.87,563637.0,9.05,2.415,🟢 1–10M
171,UC-Gh7ndBnNZvGRjCzlt2Ecw,El Canserbero,8970000,4716581179,67,US,"CANAL OFICIAL de CANSERBERO  Canserbero (1988- 2015). Escritor de rap venezolano, activista y compositor. Actualmente es considerado una de las leyendas más grandes del género Hip-Hop.  ©℗ Fundación El Canserbero",525.82,70396734.0,8.97,4.717,🟢 1–10M
172,UCvICJHzZEwb_9ckAMohAqzw,Lana's Life,8930000,9215212350,3346,US,"💗 If You LOVE ROBLOX Content, Make Sure To Subscribe!  💗YT Shorts Posted Daily & Long Form Videos Posted Weekly!",1031.94,2754098.0,8.93,9.215,🟢 1–10M
173,UCqVCSWnuOSPm26orvNDTuWQ,TG Plays,8930000,3434645417,1850,US,SUBSCRIBE FOR DAILY FORTNITE VIDEOS! ,384.62,1856565.0,8.93,3.435,🟢 1–10M
174,UCajVjEHDoVn_AHsunUZz_EQ,Republic Bangla,8790000,8230108330,231466,IN,"Official page of Bangla News, Bengali News & Bengal’s NO.1 news channel Republic Bangla. Subscribe our channel and Join the Movement. Click the bell icon and stay updated on all the fastest news developments.   Republic Bangla streams news 24X7 on issues related to West Bengal, Nation and the World. The channel also has THE BIGGEST NEWS STORIES FROM BENGAL ,THE BIGGEST NEWS EVENTS FROM BENGAL & TH",936.3,35556.0,8.79,8.23,🟢 1–10M
175,UChruvnbwqZ1J1-skg4R5bVQ,حسن شاكوش - Hassan Shakosh,8700000,2834695150,214,EG,القناه الرسميه لـ الهضبه حسن شاكوش   Social Media ◀ شريف غزالة - مصطفى المصرى  ------------------------------------------------ Official Youtube  :▶  http://bit.ly/2LXpOfc Official Instgram :▶  http://bit.ly/35qvJAP Official Facebook :▶  http://bit.ly/2YVXFdx,325.83,13246239.0,8.7,2.835,🟢 1–10M
176,UCt3mMVAyGhwQb_ZBGp_p85g,Flight Gamer,8660000,1943649422,1123,IN,Hi Guys I am Flight .. here to Entertain you With Lots Of Gaming & Funny Videos..... So I Hope That You Will Subscribe This Channel To keep Happiness In your Life....  For Any Sponsorship Or Enquiry :- flightgamer65@gmail.com ,224.44,1730765.0,8.66,1.944,🟢 1–10M
177,UCETZ7OiW7-wqwb-6hsz3C4w,Bionic,8600000,2841713164,1004,US,Minecraft's Cyborg Leader 🦾😁  SUBSCRIBE to join the Cyborg Army! 💙 BANGER MERCH 🡆 https://www.bionic.shop  Business 🡆 bionic@fixated.co Twitter 🡆 @dannybionic Instagram 🡆 @danny.bionic  ALL MY SOCIALS 🡆 https://solo.to/bionic ,330.43,2830392.0,8.6,2.842,🟢 1–10M
178,UCNvzD7Z-g64bPXxGzaQaa4g,gameranx,8570000,4400317754,4662,US,"We make videos about video games. Enjoy our Top 10s, the Friday news show, Before You Buy reviews and first impressions, and more.",513.46,943869.0,8.57,4.4,🟢 1–10M
179,UCzEy7pi3B7TIS9cn_sdKK9A,GrayStillPlays,8530000,5161736974,4291,US,I make bad choices in games and cause pixel people to become sad.  All brand and sponsorship opportunities: graystillplays@gmail.com Manager Paragon Hex: paragonhex.business@gmail.com --------------------------------------------------------------------------------------------------------------- Channel art by: http://themoski.tumblr.com/ TJFX22,605.13,1202922.0,8.53,5.162,🟢 1–10M
180,UChjKDMnMMG6iZY3twuuS2zg,PRIMKUNG,8530000,2519241242,3009,TH,โย่ว !! ปริมคุง  FB :: https://www.facebook.com/CH.primkung/ IG :: https://www.instagram.com/primkung.haha/ TikTok :: https://www.tiktok.com/@primkung.official ,295.34,837235.0,8.53,2.519,🟢 1–10M
181,UCzXwjTI6c6mVn6oui_p6oiw,SMii7Y,8490000,3496413366,1386,CA,"Pronounced ""Smitty"" -  Gameplay, Funny Moments, Hilarity & More!  Use code S7 on Gamer Supps for 10% OFF your order! https://gamersupps.gg/s7 ",411.83,2522665.0,8.49,3.496,🟢 1–10M
182,UC6pGDc4bFGD1_36IKv3FnYg,Crunchyroll,8490000,10513564195,387838,US,"Crunchyroll brings you clips, anime openings, anime endings, trailers, teasers, and full episodes every week from the best titles anime has to offer!  ",1238.35,27108.0,8.49,10.514,🟢 1–10M
183,UCJAbkIY17zAmCTNQHH0bQoQ,Gameplayrj,8480000,4063818344,23501,BR,"Noticias e opiniões do mundo dos videos games todos os dias!  𝗦𝗜𝗚𝗔 🡢 https://www.instagram.com/gameplayrj 🡢 https://www.instagram.com/odavyjones  ---------- O Gameplayrj não autoriza o uso de sua imagem, voz, áudio ou cortes sem prévia autorização. Qualquer uso não autorizado, ainda que alegado como 'fair use', fora dos ditames legais e das políticas do YouTube, constitui violação de direitos. O u",479.22,172921.0,8.48,4.064,🟢 1–10M
184,UCJ2ZDzMRgSrxmwphstrm8Ww,Smosh Games,8460000,3950478848,4206,US,"Video games, board games and more! New videos every Wednesday, Friday, and Sunday.",466.96,939248.0,8.46,3.95,🟢 1–10M
185,UCvvVOIyaYu2l4jiH9L8_eRw,Dax,8430000,2262199734,1934,US,Artist currently creating something from absolutely nothing.,268.35,1169700.0,8.43,2.262,🟢 1–10M
186,UCwt4YxSsBMxDwAMo5FoM3Xw,IVY Bhojpuri Dhamaka,8420000,2911934513,2236,IN,"IVY Entertainment Private Limited (“IVY”) is an international media and entertainment company, engaged in the business movie production, acquisition & licensing of premium Films (content rights). IVY owns various rights in more than 150 high profile movies featuring superstars like Vijay, Chiranjivi, Pawan Kalyan, Nani, Vikram, Surya, Karthi, Ravi Teja, Vijay Devarakonda, Dhanush, Venkatesh, Vijay",345.84,1302296.0,8.42,2.912,🟢 1–10M
187,UCyDUULOp3b3JsehZKIIVzrg,Jardred,8380000,2272325649,1334,ES,"LA CALABAZA LOCA 🎃🔥😈  Hago muchos tipos de contenido en Varios Canales! Para que puedas disfrutar de cualquier tipo de contenido de parte mía 🧡  MIS CANALES POR CONTENIDO SON:  🟧JARDRED: VIDEOS DE MINECRAFT!  🟨JARDITO: VIDEOS DE ROBLOX!  ⬛JARD: VIDEOS CON CAMARA DE JUEGOS ALEATORIOS (SOBRETODO TERROR, SIMULADORES, Y SUPERVIVENCIA)  ⬜JARDI: VIDEOREACCIONES Y VIDEOS CON MI VTUBER!  🟩JARDINES: VIDEOS",271.16,1703393.0,8.38,2.272,🟢 1–10M
188,UCFBcrywVNeUOqtJgGhPEvQg,TheBrainDit,8310000,3234452461,9647,UA,игровой развлекательный канал Олега Брейна   ,389.22,335281.0,8.31,3.234,🟢 1–10M
189,UC-ZROtSKHGERKmfuYL0AryQ,ShadowPriestok - Евгений Чернявский,8310000,3836457860,4079,KZ,"Привет всем! Меня зовут Жека! Вы находитесь на игровом канале под названием ShadowPriestok! На моем канале Вы сможете увидеть много различных игровых роликов: ролплей, прохождения, монтажи, размышления, обзоры, нарезки, топы, а также просто веселые видео!   На моём основном канале я снимаю по большей части только игровой контент, но для любителей видео из жизни, у меня есть второй канал, который н",461.67,940539.0,8.31,3.836,🟢 1–10M
190,UC1n_yB_W-FZCbwajZPcs8Jw,UnspeakablePlays,8270000,3034175288,1481,US,"WELCOME to UnspeakablePlays, a channel with Unspeakable content! Roblox, Minecraft, Challenges, Pranks, Maps, and tons of other awesome videos will be featured on this channel!",366.89,2048734.0,8.27,3.034,🟢 1–10M
191,UCSncGB_s0tuWN-4l-58mmvQ,ProBoiz 95,8250000,2350484350,428,IN,"HELLO PROGANG!🔥  GOALS ACHIEVED~ 🎉Channel Created - 18 April 2020 👍🏻100 Subs - Completed       - 16 July 2020 👑10,000 Subs - Completed - 21 Sept 2020 💎100,000 Subs - Completed - 4 Jan 2021 🏆500,000 Subs - Completed - 10 July 2021 🎯1M Subs - Completed - 15 November 2021 🔱4M Subs - Completed - 4 November 2023  🚀5 Million - Completed - 18 June 2024  5 Million ProGang!!! 🎂 Thank You For your LOVE 💗 We",284.91,5491786.0,8.25,2.35,🟢 1–10M
192,UCirWugW5e03u3DUGA87s58A,Oura,8240000,2611760059,4977,ID,,316.96,524766.0,8.24,2.612,🟢 1–10M
193,UCycKzia69PXRbk0N0I9n4Aw,LowGrade,8220000,2194309296,3343,TH,Contact for work : lowgrade@ampverse.com ,266.95,656389.0,8.22,2.194,🟢 1–10M
194,UCA_23dkEYToAc37hjSsCnXA,MixiGaming,8220000,4241786246,3752,VN,"- Mình là Độ -   - Thỉnh thoảng rảnh chó ko có gì làm mình hay edit clip vui, tất cả đều do team mình chơi tự nhiên, trong clip có khá nhiều từ ngữ bậy bạ nên các bạn lưu ý xung quanh trước khi xem -    - Hãy like, share, và subcribe nếu bạn thấy clip hay để mình có động lực ra mắt các sản phẩm tiếp theo :3 cám ơn tất cả các bạn đã quan tâm, theo dõi - ",516.03,1130540.0,8.22,4.242,🟢 1–10M
195,UCb5oqCZ4AfmfXbgHsfei0tQ,Domer Grief,8220000,1659482183,850,UA,"Всем привет ребятушки!С вами Домер!) Так-же известен как MrDomer [В играх] Я снимаю различные ролики по Грифер Шоу, Проверке Игроков в ""Minecraft"" и многое другое)) Гы :)  █ - 1.000.000 √ 28.04.2020 ██ -1.500.000 √ 31.12.2020 ███ - 2.000.000 √ 20.06.2021 ████ - 2.500.000 √ 02.01.2022 █████- 3.000.000 √ 23.04.2022 ██████ - 3.500.000  √ 25.08.2022 ███████ - 4.000.000 √ 17.04.2023 ████████ - 5.000.00",201.88,1952332.0,8.22,1.659,🟢 1–10M
196,UC2VQebBHZ0Jmh-AI2JrXkQg,OVER SHOW,8210000,4353325563,6750,RU,"Всем привет! Я Овер (OVER SHOW) снимаю видео по игре Scrap Mechanic (скрап механик), а так же патруль кс го и маньяк cs:go! Ролики выходят каждый день на канале овер шоу.  Реклама / сотрудничество -  overshow@mercuryagency.ru 7e9162fe-e6af-42c7-988c-e86cd2de565b ",530.25,644937.0,8.21,4.353,🟢 1–10M
197,UCpDzpaUTbIkdjkCZ9pmfMrA,Coffi Channel,8180000,4211066219,7985,RU,"Доброго времени суток друзья  Меня зовут COFFI, и этой мой канал, посвященный игровой тематике. На канале вы увидите море веселых прохождений, обзоров, лестплеев по таким играм, как SAMP, CS:GO, GTA 5 Online, RUST  и многое другое.  Будь с нами и не скучай.  https://www.gosuslugi.ru/snet/6793d72f58ab2221b0dc2322  K9G61A",514.8,527372.0,8.18,4.211,🟢 1–10M
198,UCmB1_agPlXbbwTCPKEuwEKA,Aneka Safari Records,8180000,3896181840,2762,ID,"Official Channel Aneka Safari Records.  Aneka Safari Records is recording company, also music publisher based in Banyuwangi, East Java. Our artists include Niken Salindry, Shinta Arshinta, Yeni Inka, Farel Prayoga, Esa Risty, Vita Alvia, Happy Asmara, Safira Inema, Lutffiana Dewi, Suci Tacik, Dini Kurnia, Arlida Putri, Lili Amora, Demy, Suliyana, Catur Arum, Via Vallen, Nella Kharisma, Reny Farida",476.31,1410638.0,8.18,3.896,🟢 1–10M
199,UCMqwki1wq79sf5IBueB9pQQ,PIZÃO,8170000,1738816345,1356,BR,"📩 pizao@kr3w.gg  BEM VINDOS AO CANAL DO MANO PIZÃO  Esse é o canal do mano Pizão, espero que gostem.    ",212.83,1282313.0,8.17,1.739,🟢 1–10M
200,UCEduDOXxVv-gL2tlh3Rp_6g,Las Gemelas Del Free,8100000,3240573410,1797,CO,Management: alex@wossmusic.com COLLAB 💌 Roytwins@mcr-agency.com,400.07,1803324.0,8.1,3.241,🟢 1–10M
201,UC-kOXc3gBwksVfmndSEz7jg,WILDCAT,8020000,3272161727,2747,US,"Tyler - I AM WILDCAT  For Business Inquiries Contact: business@iamwildcat.net  About Me: My name is Tyler and I make my videos for fun and to get a couple laughs out of my viewers. I do my best to make entertaining content and upload as often as I see fit. Feel free to subscribe, it's free :D",408.0,1191176.0,8.02,3.272,🟢 1–10M
202,UCHb7bDmZ5AQJFQrGPntk3fg,Teguh Sugianto,7970000,3591553413,3684,ID,Berbagi Like untuk Sukacita  Facebook : Teguh Sugianto Instagram: teguhsugianto_yt ,450.63,974906.0,7.97,3.592,🟢 1–10M
203,UCqA5tXN003u-18CKSICLDdg,Avocado Playz,7930000,6676346236,4906,GB,⭐PLAY ROBLOX USING MY LINK: https://www.roblox.com/join/avocado   #RobloxPartner ⭐USE STAR CODE: AVOCADO  🎥 My Official TikTok: https://www.tiktok.com/@official_avocado_playz  📧Business Email: avocadoplayz1@gmail.com 💌Fan Email: avocadoplayzfans@gmail.com 🎨 PNG Models made by: https://vgen.co/KoffeineYT/ 🎵 SPOTIFY: https://open.spotify.com/artist/4nlWyvzuFsMUbjOsfHJxZG 🎮Roblox Profile: https://www,841.91,1360853.0,7.93,6.676,🟢 1–10M
204,UChO8h2G8UjOVc081rgYU8XQ,Vibe Music,7870000,7650535795,2210,NL,"Vibe Music strives to bring the best lyric videos of popular Rap & Hip Hop songs.  Be sure to Subscribe to see new videos we upload!  If any producer, artist or label has an issue with music upload, please contact me and I will remove the material immediately.  Business Inquiries: droppinglyricsvibe@gmail.com",972.11,3461781.0,7.87,7.651,🟢 1–10M
205,UCZRdNleCgW-BGUJf-bbjzQg,Diljit Dosanjh,7850000,5318563555,265,IN,OFFICIAL YouTube Channel Of DILJIT SINGH DOSANJH . SUBSCRIBE And Get ACCESS To LATEST Updates .,677.52,20070051.0,7.85,5.319,🟢 1–10M
206,UCtr3boXbtzcDAzY9b6M25NA,SlenderMan™,7790000,6942973740,3724,VN,Mình chơi Minecraft Pocket Edition,891.27,1864386.0,7.79,6.943,🟢 1–10M
207,UCFX8go5jeQ_9_Pk9WFl5tmA,DIVINE,7780000,1774002714,96,IN,GULLY GANG,228.02,18479195.0,7.78,1.774,🟢 1–10M
208,UCPjaNv8GlIamrxCbqincG_g,Anshu Bisht,7750000,1875560598,635,IN,"Hi Guys, my name is Anshu Bisht. Here I post My Gameplay Videos (Mainly Minecraft) Thank You for all the love and support ❤️️ For Business Enquiry: Hustlewithfleet@gmail.com  ",242.01,2953639.0,7.75,1.876,🟢 1–10M
209,UC8YLIGeB04-KLPoR2Lmm6xA,Chocoblox,7720000,2177213513,4543,ES,Canal dedicado a Roblox y a Minecraft   Email de Contacto: Nilcobax10@gmail.com,282.02,479246.0,7.72,2.177,🟢 1–10M
